,age,num_age_user,num_age_child
0,0,0,10345
1,1,0,17233
2,2,0,18632
3,3,0,19097
4,4,0,18364
5,5,0,17385
6,6,0,16050
7,7,0,15445
8,8,0,14026
9,9,0,13738
10,10,0,12900
11,11,0,12569
12,12,0,11808
13,13,0,10918
14,14,1091,8736
15,15,1845,3784
16,16,2615,1528
17,17,3854,111
18,18,6268,14
19,19,10519,18
20,20,14613,23
21,21,19691,15
22,22,25138,9
23,23,28513,0
24,24,32191,0
25,25,35580,0
26,26,39569,0
27,27,41759,0
28,28,44944,1
29,29,49266,0
30,30,47854,0
31,31,47504,0
32,32,44747,0
33,33,42252,0
34,34,38855,0
35,35,36531,0
36,36,34842,0
37,37,33584,0
38,38,31617,0
39,39,29840,0
40,40,26600,0
41,41,24613,0
42,42,22752,0
43,43,20949,0
44,44,18759,0
45,45,17997,0
46,46,16617,0
47,47,17174,0
48,48,17963,0
49,49,17411,0
50,50,18081,0
51,51,18821,0
52,52,18689,0
53,53,18604,0
54,54,17918,0
55,55,17431,0
56,56,16524,0
57,57,15046,0
58,58,13742,0
59,59,12558,0
60,60,11015,0
61,61,9504,0
62,62,8528,0
63,63,7595,0
64,64,6777,0
65,65,5841,0
66,66,5206,0
67,67,4609,0
68,68,3918,0
69,69,3618,0
70,70,3086,0
71,71,2356,0
72,72,2005,0
73,73,1505,0
74,74,1086,0
75,75,1205,0
76,76,1103,0
77,77,761,0
78,78,762,0
79,79,679,0
80,80,602,0
81,81,452,0
82,82,384,0
83,83,257,0
84,84,250,0
85,85,198,0
86,86,120,0
87,87,127,0
88,88,99,0
89,89,86,0
90,90,58,0
91,91,77,0
92,92,36,0
93,93,38,0
94,94,30,0
95,95,18,0
96,96,14,0
97,97,11,0
98,98,11,0
99,99,1,0
100,100,2,0
