,created_at,revoked_at
"Jan
16",1723,-134
"Feb
16",3476,-196
"Mar
16",1952,-209
"Apr
16",705,-173
"May
16",2319,-164
"Jun
16",2260,-166
"Jul
16",584,-317
"Aug
16",1802,-319
"Sep
16",451,-134
"Oct
16",595,-193
"Nov
16",935,-205
"Dec
16",1148,-178
"Jan
17",559,-191
"Feb
17",787,-152
"Mar
17",2182,-134
"Apr
17",2561,-708
"May
17",2241,-431
"Jun
17",3858,-524
"Jul
17",7287,-541
"Aug
17",1037,-772
"Sep
17",3890,-705
"Oct
17",2372,-736
"Nov
17",3480,-904
"Dec
17",3740,-1848
"Jan
18",4407,-814
"Feb
18",2339,-425
"Mar
18",3561,-533
"Apr
18",3169,-423
"May
18",2541,-1180
"Jun
18",3156,-941
"Jul
18",2927,-909
"Aug
18",852,-782
"Sep
18",3995,-308
"Oct
18",2487,-1365
"Nov
18",5687,-1064
"Dec
18",5622,-1031
"Jan
19",4415,-1352
"Feb
19",5414,-1197
"Mar
19",7388,-1256
"Apr
19",4846,-1163
"May
19",4873,-378
"Jun
19",5302,-1812
"Jul
19",2669,-1194
"Aug
19",4927,-494
"Sep
19",4032,-511
"Oct
19",4795,-2979
"Nov
19",3410,-402
