,id,title,draw_date,num_basic_incomes
0,1,1. Grundeinkommensverlosung,"18
Sep
14",4
1,2,2. Grundeinkommensverlosung,"15
Nov
14",1
2,3,3. Grundeinkommensverlosung,"22
Feb
15",2
3,4,4. Grundeinkommensverlosung,"20
Mar
15",2
4,5,5. Grundeinkommensverlosung,"22
Mar
15",1
5,6,6. Grundeinkommensverlosung,"17
Apr
15",2
6,7,7. Grundeinkommensverlosung,"07
May
15",1
7,8,8. Grundeinkommensverlosung,"18
Jul
15",1
8,9,9. Grundeinkommensverlosung,"22
Aug
15",1
9,10,10. Grundeinkommensverlosung,"19
Sep
15",2
10,11,11. Grundeinkommensverlosung,"25
Oct
15",3
11,12,12. Grundeinkommensverlosung,"06
Nov
15",5
12,13,13. Grundeinkommensverlosung,"07
Dec
15",8
13,14,14. Grundeinkommensverlosung,"22
Feb
16",1
14,15,Frühlingsverlosung 2016,"29
Mar
16",2
15,16,Mai-Verlosung 2016,"18
May
16",5
16,17,Juni-Verlosung 2016,"07
Jun
16",3
17,18,Goldene Verlosung,"23
Aug
16",9
18,19,"Crowdbar-Verlosung (Große Doppelverlosung, 1. Teil)","23
Nov
16",6
19,20,"Nikolaus-Verlosung (Große Doppelverlosung, 2. Teil)","06
Dec
16",11
20,21,Crowdverlosung,"24
Apr
17",16
21,22,Crowdverlosung bei „Mensch Gottschalk“,"28
May
17",1
22,23,Juni-Verlosung 2017,"12
Jun
17",3
23,24,#GönntEuch-Verlosung,"27
Jul
17",10
24,25,#GoenntEuch-Verlosung II,"27
Sep
17",12
25,26,26. Grundeinkommens-Verlosung,"15
Nov
17",12
26,27,"""Was wünschst du dir?""-Verlosung","13
Dec
17",8
27,28,Verlosung zur Crowdpremiere,"01
Feb
18",9
28,29,Digitalisierung: #Läuft!,"19
Mar
18",18
29,30,"""Wie wollen wir arbeiten?""-Verlosung","21
Apr
18",8
30,31,Solidarität 4.0-Verlosung,"30
May
18",13
31,32,Verlosung of Love,"09
Jul
18",10
32,33,33. Grundeinkommens-Verlosung,"18
Sep
18",10
33,34,34. Grundeinkommens-Verlosung,"15
Oct
18",16
34,35,Verlosung für Alle,"29
Nov
18",22
35,37,Grundeinkommens-Verlosung im Dezember,"17
Dec
18",20
36,38,#Verlesung – Die Januar-Verlosung 2019,"31
Jan
19",15
37,39,Februar-Verlosung 2019,"27
Feb
19",14
38,40,März-Verlosung 2019,"12
Mar
19",13
39,73,Frühlingsverlosung 2019,"28
Mar
19",8
40,74,Die Osterverlosung 2019,"23
Apr
19",8
41,75,Verlosung & Lesung,"13
May
19",9
42,76,Die Mai-Verlosung 2019,"29
May
19",8
43,77,Die Juni-Verlosung 2019,"12
Jun
19",17
44,78,Die Juli-Verlosung,"02
Jul
19",19
45,79,Die August-Verlosung 2019,"07
Aug
19",11
46,81,Back To Work Verlosung,"20
Aug
19",8
47,82,Die September-Verlosung,"04
Sep
19",12
48,83,Die Klimastreik-Verlosung,"18
Sep
19",10
49,84,Die fünfzigste Verlosung,"09
Oct
19",15
50,85,Die Oktober-Verlosung 2019,"23
Oct
19",10
51,86,Verlosung am Bodensee,"03
Nov
19",10
52,87,Schöne BGEscherung!,"02
Dec
19",42
